total_skills_found,matched_skills_count,missing_skills_count,skill_match_percentage,project_count,experience_score,education_score,keyword_match_score,formatting_score,final_score,category
21,12,10,57.1,3,15.0,7,5,3,71,Good
21,0,9,0.0,1,1.0,9,8,0,24,Weak
8,8,4,100.0,2,5.0,10,7,0,74,Good
16,7,5,43.8,1,11.0,7,10,3,55,Average
5,1,4,20.0,2,14.0,7,5,3,49,Average
19,17,9,89.5,2,3.0,10,10,5,76,Good
18,14,11,77.8,2,15.0,4,5,3,70,Average
10,8,1,80.0,4,3.0,10,9,5,79,Good
3,1,6,33.3,3,6.0,7,8,4,56,Average
24,24,0,100.0,2,5.0,10,1,2,70,Average
12,5,6,41.7,0,6.0,7,7,5,42,Average
22,12,3,54.5,3,14.0,9,9,2,74,Good
17,13,5,76.5,1,11.0,4,1,3,56,Average
19,13,6,68.4,1,12.0,9,9,0,63,Average
19,3,4,15.8,2,4.0,4,1,1,28,Weak
6,2,5,33.3,0,15.0,9,9,3,49,Average
10,3,11,30.0,2,6.0,9,8,1,48,Average
12,12,12,100.0,1,10.0,7,1,3,67,Average
13,10,0,76.9,5,11.0,7,7,0,76,Good
3,1,5,33.3,5,10.0,4,1,1,49,Average
14,11,12,78.6,0,9.0,9,6,3,58,Average
5,4,7,80.0,3,7.0,7,10,3,77,Good
19,7,3,36.8,3,10.0,7,2,5,57,Average
17,7,8,41.2,2,14.0,3,1,5,51,Average
23,21,2,91.3,2,6.0,3,4,4,66,Average
19,11,0,57.9,4,8.0,3,4,0,58,Average
10,1,9,10.0,2,2.0,10,0,3,31,Weak
24,17,7,70.8,0,5.0,10,5,1,49,Average
11,7,11,63.6,2,12.0,3,2,1,55,Average
9,5,5,55.6,1,10.0,3,1,1,43,Average
22,16,12,72.7,2,3.0,9,3,2,58,Average
10,9,6,90.0,1,8.0,7,0,0,57,Average
3,1,11,33.3,0,12.0,4,10,3,42,Average
12,5,1,41.7,5,1.0,9,10,0,57,Average
20,3,1,15.0,0,0.0,4,4,3,17,Weak
6,4,11,66.7,4,6.0,3,9,3,68,Average
12,5,12,41.7,4,10.0,4,5,1,57,Average
4,1,14,25.0,3,5.0,10,10,0,53,Average
17,12,4,70.6,5,13.0,9,1,4,75,Good
12,5,0,41.7,0,13.0,3,3,4,40,Weak
9,4,14,44.4,1,8.0,7,8,1,48,Average
7,3,9,42.9,1,6.0,10,2,5,46,Average
14,3,3,21.4,3,0.0,10,9,1,47,Average
17,2,11,11.8,3,13.0,9,4,5,54,Average
23,19,13,82.6,5,14.0,3,4,0,74,Good
12,1,4,8.3,2,7.0,4,4,3,33,Weak
5,1,11,20.0,1,8.0,4,8,0,34,Weak
21,14,11,66.7,5,12.0,3,0,1,63,Average
16,2,7,12.5,4,11.0,3,8,2,49,Average
18,12,9,66.7,4,2.0,4,8,0,61,Average
4,3,4,75.0,2,10.0,7,9,2,70,Average
9,6,13,66.7,2,14.0,4,10,1,68,Average
19,6,14,31.6,2,12.0,7,8,0,52,Average
21,0,14,0.0,4,7.0,4,5,5,41,Average
12,11,11,91.7,1,8.0,3,5,5,64,Average
20,6,0,30.0,5,4.0,10,4,5,55,Average
21,17,5,81.0,1,10.0,7,9,0,64,Average
10,2,6,20.0,2,3.0,4,4,2,33,Weak
22,3,14,13.6,1,5.0,10,6,1,33,Weak
8,7,8,87.5,3,4.0,10,1,1,69,Average
7,7,8,100.0,4,5.0,10,3,2,80,Good
17,15,2,88.2,5,5.0,3,2,3,68,Average
16,12,11,75.0,4,1.0,9,4,2,66,Average
5,1,5,20.0,1,11.0,10,5,1,41,Average
21,20,1,95.2,1,7.0,10,7,5,73,Good
6,4,14,66.7,5,15.0,4,4,5,75,Good
20,3,2,15.0,2,2.0,10,1,1,32,Weak
2,0,0,0.0,0,10.0,7,5,1,23,Weak
20,18,1,90.0,4,2.0,7,0,3,68,Average
20,5,6,25.0,3,8.0,7,9,2,54,Average
19,15,1,78.9,0,7.0,9,8,5,61,Average
17,2,12,11.8,4,7.0,3,2,2,39,Weak
12,3,7,25.0,3,10.0,7,2,0,47,Average
18,5,4,27.8,3,13.0,10,0,0,52,Average
8,2,0,25.0,5,5.0,7,4,0,46,Average
19,13,7,68.4,2,13.0,4,0,2,58,Average
14,13,2,92.9,2,2.0,3,10,1,65,Average
12,11,14,91.7,3,4.0,7,1,5,72,Good
13,10,4,76.9,1,4.0,9,7,5,62,Average
15,3,7,20.0,0,15.0,7,6,0,36,Weak
2,2,0,100.0,5,1.0,10,2,5,78,Good
5,3,1,60.0,1,6.0,9,8,3,56,Average
7,4,3,57.1,3,6.0,7,1,1,56,Average
4,3,0,75.0,1,12.0,3,9,2,62,Average
12,9,10,75.0,1,7.0,7,8,2,60,Average
17,17,14,100.0,3,15.0,3,6,1,83,Good
17,10,14,58.8,4,11.0,9,9,5,78,Good
12,7,3,58.3,2,11.0,3,4,0,53,Average
21,16,11,76.2,0,12.0,10,3,0,55,Average
15,4,7,26.7,1,2.0,4,1,1,25,Weak
3,1,0,33.3,0,7.0,7,10,0,37,Weak
19,12,1,63.2,5,9.0,3,4,0,61,Average
15,1,8,6.7,1,3.0,4,9,2,27,Weak
16,5,6,31.2,2,1.0,10,3,2,40,Weak
15,11,0,73.3,0,2.0,4,10,0,45,Average
14,14,13,100.0,2,12.0,7,9,4,84,Good
4,2,10,50.0,5,10.0,10,3,5,68,Average
14,5,7,35.7,2,4.0,9,5,4,48,Average
20,9,14,45.0,3,11.0,3,8,3,61,Average
8,6,14,75.0,1,11.0,4,2,5,58,Average
15,8,14,53.3,0,13.0,4,0,2,40,Weak
2,0,3,0.0,4,14.0,4,3,2,43,Average
9,5,13,55.6,0,14.0,4,6,0,46,Average
12,5,7,41.7,2,2.0,7,1,4,43,Average
24,17,10,70.8,1,12.0,4,3,0,53,Average
6,6,12,100.0,0,6.0,4,10,3,63,Average
8,8,2,100.0,3,6.0,7,0,4,75,Good
11,7,6,63.6,5,10.0,4,0,1,60,Average
24,9,1,37.5,0,9.0,4,4,3,35,Weak
21,9,4,42.9,4,6.0,7,0,1,51,Average
2,0,6,0.0,3,15.0,10,0,2,45,Average
7,7,12,100.0,4,2.0,7,2,3,74,Good
20,17,12,85.0,0,1.0,7,1,1,44,Average
3,3,5,100.0,5,0.0,10,8,4,82,Good
21,7,4,33.3,0,13.0,9,1,2,38,Weak
8,2,7,25.0,5,6.0,4,5,2,47,Average
23,20,13,87.0,3,6.0,4,7,4,74,Good
8,4,14,50.0,2,10.0,7,6,1,56,Average
11,8,3,72.7,0,6.0,7,7,2,51,Average
17,8,2,47.1,3,9.0,3,3,5,57,Average
4,2,10,50.0,0,0.0,3,9,2,34,Weak
14,9,4,64.3,3,2.0,4,0,0,50,Average
13,11,2,84.6,4,14.0,10,1,1,80,Good
20,7,0,35.0,1,7.0,9,9,5,50,Average
24,20,6,83.3,1,2.0,10,0,4,55,Average
17,4,5,23.5,1,5.0,3,2,4,29,Weak
11,4,8,36.4,1,5.0,7,1,1,35,Weak
11,10,3,90.9,0,4.0,7,0,5,52,Average
11,11,10,100.0,1,4.0,7,1,2,60,Average
20,19,10,95.0,3,11.0,7,6,4,84,Good
9,3,6,33.3,1,1.0,4,7,5,36,Weak
5,5,2,100.0,4,4.0,3,0,1,68,Average
9,9,7,100.0,4,7.0,10,10,5,92,Excellent
2,2,10,100.0,4,8.0,10,1,3,82,Good
4,0,5,0.0,3,14.0,3,7,4,46,Average
4,3,3,75.0,1,14.0,7,8,4,69,Average
19,19,7,100.0,5,4.0,7,5,1,77,Good
18,14,5,77.8,1,8.0,9,5,4,63,Average
18,4,6,22.2,2,0.0,10,1,1,33,Weak
12,9,5,75.0,2,9.0,7,2,1,61,Average
18,1,4,5.6,4,2.0,9,9,0,42,Average
5,2,10,40.0,3,1.0,10,3,1,49,Average
22,14,6,63.6,4,10.0,10,0,5,70,Average
13,6,6,46.2,5,2.0,4,8,1,53,Average
23,16,9,69.6,2,7.0,10,7,2,66,Average
5,1,5,20.0,5,1.0,7,0,2,38,Weak
13,8,1,61.5,1,11.0,3,0,4,49,Average
18,12,12,66.7,5,12.0,9,1,3,72,Good
13,8,0,61.5,1,9.0,10,0,3,53,Average
12,3,8,25.0,5,13.0,4,6,5,58,Average
5,1,3,20.0,2,6.0,7,1,2,36,Weak
10,2,3,20.0,5,2.0,4,6,4,44,Average
7,3,0,42.9,0,2.0,3,1,5,28,Weak
8,5,13,62.5,2,3.0,10,10,4,64,Average
17,6,6,35.3,5,3.0,3,7,0,47,Average
16,6,5,37.5,0,5.0,7,4,1,32,Weak
15,4,11,26.7,1,3.0,3,4,3,30,Weak
10,2,0,20.0,0,9.0,9,0,2,28,Weak
24,16,8,66.7,1,2.0,10,0,1,46,Average
4,4,7,100.0,2,9.0,9,5,2,77,Good
9,2,8,22.2,3,5.0,9,0,0,41,Average
4,4,1,100.0,1,10.0,10,7,1,74,Good
9,5,14,55.6,0,8.0,10,4,4,48,Average
24,4,3,16.7,1,14.0,10,1,0,38,Weak
10,4,10,40.0,5,7.0,4,5,5,57,Average
22,0,11,0.0,5,4.0,7,6,2,39,Weak
13,0,5,0.0,1,9.0,10,8,4,37,Weak
18,6,1,33.3,1,10.0,4,2,1,36,Weak
12,5,4,41.7,0,7.0,9,6,4,43,Average
8,7,12,87.5,5,8.0,3,9,3,78,Good
19,2,13,10.5,4,7.0,10,2,5,48,Average
24,20,14,83.3,4,4.0,9,9,0,75,Good
8,2,3,25.0,1,5.0,9,7,4,41,Average
19,2,9,10.5,3,14.0,10,4,1,51,Average
8,6,2,75.0,0,10.0,4,9,2,55,Average
18,14,10,77.8,4,1.0,7,10,0,69,Average
20,12,6,60.0,3,15.0,10,2,5,74,Good
12,1,10,8.3,1,11.0,3,10,3,36,Weak
18,2,10,11.1,4,0.0,10,0,5,39,Weak
8,3,14,37.5,3,11.0,4,1,3,52,Average
3,1,7,33.3,2,9.0,7,0,0,41,Average
4,4,5,100.0,1,14.0,7,4,2,73,Good
12,3,7,25.0,0,7.0,9,10,2,38,Weak
22,4,2,18.2,5,8.0,10,6,0,51,Average
4,4,1,100.0,1,5.0,4,6,5,66,Average
12,2,7,16.7,1,5.0,3,0,5,26,Weak
18,0,12,0.0,4,9.0,7,5,3,44,Average
6,2,7,33.3,1,13.0,9,4,3,48,Average
18,7,11,38.9,2,14.0,9,5,4,60,Average
9,6,2,66.7,4,12.0,9,2,4,74,Good
20,18,6,90.0,3,9.0,4,2,0,69,Average
15,14,9,93.3,3,8.0,10,10,3,86,Excellent
14,4,5,28.6,0,5.0,3,6,4,29,Weak
6,6,0,100.0,2,12.0,3,4,4,75,Good
12,8,1,66.7,2,5.0,3,0,3,50,Average
21,1,13,4.8,3,4.0,10,8,5,47,Average
2,2,9,100.0,0,13.0,3,5,3,64,Average
19,2,3,10.5,0,9.0,9,4,2,28,Weak
13,8,3,61.5,4,5.0,10,7,2,69,Average
18,15,0,83.3,4,13.0,9,1,4,80,Good
17,4,14,23.5,4,15.0,10,5,5,64,Average
11,3,1,27.3,1,5.0,3,9,1,35,Weak
9,4,11,44.4,5,8.0,7,5,1,59,Average
16,15,3,93.8,1,7.0,7,0,3,61,Average
5,1,5,20.0,3,11.0,9,2,4,52,Average
15,10,4,66.7,0,15.0,9,0,2,53,Average
4,2,12,50.0,5,8.0,7,5,3,63,Average
16,1,0,6.2,1,12.0,4,4,0,28,Weak
16,12,5,75.0,4,9.0,3,1,1,64,Average
3,3,4,100.0,1,14.0,7,7,5,79,Good
19,11,4,57.9,4,6.0,4,1,3,57,Average
11,2,2,18.2,2,6.0,7,3,5,40,Weak
20,3,13,15.0,0,6.0,9,10,1,32,Weak
2,1,5,50.0,1,15.0,7,0,1,49,Average
6,3,6,50.0,4,9.0,7,2,5,63,Average
13,7,5,53.8,1,2.0,3,3,5,41,Average
6,1,14,16.7,1,0.0,9,5,5,32,Weak
9,5,5,55.6,3,8.0,7,2,1,58,Average
17,5,5,29.4,1,12.0,3,10,4,47,Average
5,4,4,80.0,0,7.0,4,0,2,45,Average
17,14,4,82.4,3,8.0,9,10,5,83,Good
4,3,1,75.0,4,12.0,10,5,5,82,Good
6,0,9,0.0,4,8.0,7,0,2,37,Weak
15,15,0,100.0,5,14.0,10,1,1,86,Excellent
20,0,3,0.0,0,10.0,3,1,5,19,Weak
5,5,3,100.0,2,11.0,4,3,2,72,Good
8,0,4,0.0,1,12.0,10,3,2,33,Weak
23,12,11,52.2,5,10.0,3,7,3,64,Average
24,2,8,8.3,3,0.0,9,3,5,38,Weak
15,1,14,6.7,0,6.0,4,7,0,20,Weak
12,8,5,66.7,4,2.0,4,3,5,61,Average
9,7,13,77.8,0,8.0,7,2,2,50,Average
16,2,0,12.5,1,2.0,4,3,0,20,Weak
15,15,7,100.0,4,8.0,10,3,1,82,Good
8,2,11,25.0,3,5.0,10,9,2,54,Average
2,0,7,0.0,4,0.0,7,2,4,33,Weak
5,1,13,20.0,3,1.0,7,3,3,40,Weak
24,11,4,45.8,5,8.0,3,10,0,59,Average
11,2,0,18.2,3,1.0,4,7,2,39,Weak
13,5,11,38.5,0,13.0,3,2,1,34,Weak
12,2,1,16.7,0,12.0,10,9,1,39,Weak
20,1,11,5.0,4,11.0,4,2,4,43,Average
3,1,11,33.3,0,2.0,4,1,4,24,Weak
3,2,12,66.7,2,12.0,10,4,0,65,Average
8,6,7,75.0,0,10.0,9,7,3,59,Average
13,4,13,30.8,1,6.0,9,2,2,37,Weak
17,5,2,29.4,3,0.0,3,8,2,43,Average
13,11,6,84.6,1,8.0,7,1,4,60,Average
12,8,1,66.7,2,12.0,7,8,1,67,Average
23,19,11,82.6,5,0.0,4,1,4,62,Average
5,5,10,100.0,0,0.0,9,5,2,56,Average
15,13,12,86.7,0,6.0,10,7,0,58,Average
14,14,11,100.0,1,8.0,4,2,4,64,Average
12,5,4,41.7,4,7.0,4,6,5,59,Average
20,8,1,40.0,2,6.0,4,7,3,48,Average
8,2,13,25.0,3,4.0,10,7,4,53,Average
23,5,7,21.7,0,0.0,3,4,0,16,Weak
9,7,1,77.8,4,0.0,10,8,2,71,Good
14,10,13,71.4,0,1.0,9,8,2,49,Average
13,11,14,84.6,4,11.0,7,3,4,79,Good
21,3,6,14.3,0,12.0,7,8,2,35,Weak
12,6,11,50.0,5,6.0,10,10,4,70,Average
8,1,0,12.5,1,1.0,9,8,1,30,Weak
2,2,1,100.0,1,6.0,4,8,3,67,Average
10,2,4,20.0,2,15.0,3,8,1,47,Average
21,3,9,14.3,0,3.0,9,8,3,29,Weak
2,1,2,50.0,0,7.0,3,3,0,33,Weak
22,20,0,90.9,3,8.0,3,7,4,76,Good
14,13,10,92.9,1,5.0,10,2,0,60,Average
5,0,11,0.0,2,7.0,7,3,5,34,Weak
8,2,11,25.0,4,7.0,9,10,5,61,Average
14,2,11,14.3,0,7.0,4,3,3,23,Weak
9,3,12,33.3,2,11.0,3,9,5,53,Average
4,2,9,50.0,1,9.0,3,4,4,46,Average
17,5,7,29.4,2,0.0,4,2,0,30,Weak
17,1,12,5.9,1,0.0,3,1,4,16,Weak
4,2,5,50.0,0,6.0,7,6,2,41,Average
8,0,1,0.0,0,14.0,4,4,5,27,Weak
7,1,11,14.3,5,0.0,7,5,5,43,Average
17,0,4,0.0,0,1.0,7,0,5,13,Weak
18,1,14,5.6,4,10.0,4,2,2,40,Weak
18,8,6,44.4,5,7.0,7,0,1,53,Average
23,20,12,87.0,2,3.0,3,3,0,56,Average
19,15,0,78.9,1,3.0,4,10,0,55,Average
9,0,9,0.0,4,10.0,10,1,5,46,Average
4,0,6,0.0,5,8.0,10,7,3,48,Average
16,5,6,31.2,0,10.0,7,0,2,31,Weak
23,15,3,65.2,5,4.0,10,6,2,68,Average
24,18,14,75.0,5,8.0,7,10,1,76,Good
7,6,5,85.7,0,13.0,3,3,3,56,Average
7,2,12,28.6,0,5.0,10,2,2,30,Weak
2,0,6,0.0,4,6.0,7,6,4,43,Average
5,0,0,0.0,0,2.0,9,3,0,14,Weak
14,2,13,14.3,3,10.0,9,9,5,57,Average
14,0,2,0.0,0,0.0,4,9,0,13,Weak
10,9,4,90.0,4,3.0,9,7,2,77,Good
9,2,12,22.2,1,11.0,7,7,2,42,Average
21,18,13,85.7,0,0.0,4,6,4,48,Average
12,7,13,58.3,0,15.0,4,8,3,53,Average
20,11,6,55.0,1,6.0,9,5,1,49,Average
24,11,11,45.8,3,6.0,4,10,2,58,Average
9,8,4,88.9,0,8.0,3,3,3,53,Average
6,0,11,0.0,4,10.0,10,0,2,42,Average
23,2,7,8.7,3,7.0,4,7,0,39,Weak
16,7,0,43.8,1,14.0,9,7,1,55,Average
8,3,6,37.5,5,15.0,9,10,3,72,Good
16,9,7,56.2,3,3.0,10,4,1,58,Average
13,10,3,76.9,4,11.0,9,4,3,78,Good
22,13,5,59.1,1,4.0,9,6,0,49,Average
7,2,7,28.6,4,15.0,10,4,4,64,Average
24,8,0,33.3,3,4.0,10,8,1,54,Average
23,18,2,78.3,5,4.0,3,4,3,65,Average
6,1,11,16.7,2,11.0,9,8,5,52,Average
5,3,5,60.0,4,12.0,3,4,2,65,Average
14,8,9,57.1,2,2.0,10,2,0,49,Average
3,3,8,100.0,0,8.0,3,10,0,61,Average
8,6,8,75.0,0,5.0,4,5,2,46,Average
12,6,6,50.0,5,9.0,3,7,0,59,Average
24,7,7,29.2,4,8.0,9,6,5,60,Average
24,9,12,37.5,2,15.0,3,3,5,53,Average
5,2,14,40.0,4,14.0,3,10,5,68,Average
22,5,3,22.7,0,10.0,7,4,5,35,Weak
4,3,10,75.0,0,10.0,10,10,3,63,Average
19,4,14,21.1,3,14.0,7,4,1,52,Average
21,14,0,66.7,3,2.0,7,0,2,56,Average
22,17,11,77.3,5,11.0,9,0,1,72,Good
7,7,7,100.0,4,12.0,7,10,5,94,Excellent
22,2,14,9.1,1,2.0,4,5,2,23,Weak
4,3,8,75.0,4,14.0,7,4,2,77,Good
13,1,12,7.7,2,11.0,3,8,4,41,Average
12,4,2,33.3,4,5.0,4,6,2,50,Average
9,1,2,11.1,1,7.0,9,7,2,35,Weak
2,0,13,0.0,0,7.0,4,7,1,19,Weak
19,3,7,15.8,0,14.0,3,2,0,25,Weak
9,0,8,0.0,5,15.0,3,0,0,38,Weak
17,14,2,82.4,0,12.0,10,8,2,65,Average
11,0,3,0.0,5,10.0,4,0,5,39,Weak
10,4,12,40.0,4,1.0,3,7,1,48,Average
22,16,4,72.7,0,14.0,9,1,3,56,Average
4,4,8,100.0,5,2.0,7,2,1,72,Good
18,16,4,88.9,0,2.0,7,7,1,53,Average
19,2,3,10.5,0,1.0,10,6,0,21,Weak
10,10,2,100.0,3,15.0,4,8,3,88,Excellent
8,5,13,62.5,1,7.0,7,6,3,54,Average
2,0,14,0.0,1,3.0,9,0,2,20,Weak
23,10,1,43.5,1,1.0,9,9,3,45,Average
23,22,5,95.7,3,6.0,4,2,2,70,Average
7,3,8,42.9,0,11.0,9,1,1,39,Weak
2,0,5,0.0,1,15.0,9,9,4,43,Average
4,4,10,100.0,3,8.0,3,2,3,74,Good
3,3,3,100.0,2,9.0,3,5,0,69,Average
21,21,0,100.0,4,13.0,9,5,2,89,Excellent
22,21,5,95.5,1,14.0,3,8,2,71,Good
5,5,8,100.0,3,4.0,10,0,4,76,Good
19,9,2,47.4,4,15.0,3,1,1,59,Average
6,1,12,16.7,2,8.0,10,4,5,46,Average
10,6,0,60.0,1,14.0,9,5,3,61,Average
15,3,1,20.0,3,1.0,7,8,0,42,Average
18,8,7,44.4,3,1.0,4,6,2,49,Average
22,15,7,68.2,0,14.0,4,1,5,51,Average
3,3,4,100.0,3,10.0,9,10,1,88,Excellent
6,2,3,33.3,0,2.0,9,5,4,33,Weak
8,2,1,25.0,3,14.0,4,10,4,60,Average
9,7,9,77.8,5,1.0,7,10,4,73,Good
24,0,5,0.0,3,10.0,10,0,0,38,Weak
19,11,1,57.9,4,3.0,4,5,2,57,Average
9,7,5,77.8,1,1.0,9,4,2,53,Average
24,13,14,54.2,5,12.0,3,5,2,64,Average
13,5,3,38.5,4,13.0,10,3,5,66,Average
13,11,13,84.6,5,1.0,3,6,0,64,Average
11,4,3,36.4,4,1.0,4,5,3,48,Average
5,4,2,80.0,3,9.0,7,2,5,73,Good
23,11,3,47.8,3,0.0,4,3,5,49,Average
2,0,4,0.0,5,11.0,3,1,3,38,Weak
6,3,1,50.0,5,14.0,9,9,5,77,Good
7,0,8,0.0,2,12.0,3,7,2,36,Weak
8,8,5,100.0,0,3.0,10,4,3,60,Average
5,3,10,60.0,0,3.0,3,4,3,37,Weak
2,1,7,50.0,1,10.0,4,0,0,40,Weak
17,8,6,47.1,0,0.0,10,3,0,32,Weak
24,15,7,62.5,1,8.0,3,10,5,57,Average
4,1,2,25.0,0,7.0,3,0,1,21,Weak
8,2,10,25.0,5,11.0,9,1,2,53,Average
13,5,1,38.5,0,3.0,3,9,3,33,Weak
23,6,10,26.1,3,12.0,10,5,3,58,Average
17,13,14,76.5,2,11.0,7,0,3,64,Average
19,2,11,10.5,1,3.0,10,5,5,33,Weak
15,13,6,86.7,4,5.0,4,8,4,76,Good
11,4,4,36.4,5,1.0,3,3,5,47,Average
6,3,13,50.0,4,7.0,10,4,3,64,Average
21,3,3,14.3,5,4.0,9,6,5,50,Average
20,8,7,40.0,3,1.0,10,6,3,54,Average
2,2,11,100.0,4,8.0,4,9,3,84,Good
18,5,13,27.8,0,9.0,7,2,4,33,Weak
3,0,13,0.0,5,1.0,7,3,5,36,Weak
18,9,1,50.0,4,2.0,7,1,0,50,Average
20,3,13,15.0,1,1.0,4,7,5,29,Weak
5,1,1,20.0,2,10.0,4,5,4,43,Average
11,5,8,45.5,3,5.0,9,3,5,58,Average
4,2,13,50.0,0,1.0,3,7,4,35,Weak
15,10,9,66.7,4,3.0,4,4,5,63,Average
23,16,14,69.6,1,15.0,4,2,1,56,Average
3,3,5,100.0,0,4.0,3,5,1,53,Average
11,0,4,0.0,1,10.0,3,4,1,24,Weak
24,9,4,37.5,5,7.0,7,4,1,54,Average
8,0,5,0.0,1,2.0,3,4,1,16,Weak
5,0,10,0.0,3,4.0,4,10,2,38,Weak
13,2,6,15.4,4,0.0,7,2,1,36,Weak
13,8,11,61.5,0,11.0,10,3,0,49,Average
17,16,6,94.1,4,5.0,3,6,3,75,Good
9,7,4,77.8,1,7.0,7,0,4,55,Average
23,15,2,65.2,4,2.0,3,1,0,52,Average
13,10,8,76.9,1,13.0,7,6,3,66,Average
8,1,13,12.5,0,3.0,7,5,3,23,Weak
24,20,12,83.3,4,9.0,9,7,4,82,Good
23,21,3,91.3,4,13.0,7,1,0,78,Good
13,1,7,7.7,5,11.0,10,9,4,57,Average
2,1,10,50.0,4,9.0,3,5,0,57,Average
15,13,9,86.7,2,14.0,3,1,1,66,Average
14,7,1,50.0,1,2.0,3,3,1,35,Weak
5,5,8,100.0,1,15.0,4,2,5,72,Good
16,15,0,93.8,3,8.0,3,4,1,72,Good
21,10,1,47.6,2,6.0,3,5,4,49,Average
4,0,9,0.0,2,4.0,4,4,5,29,Weak
18,6,1,33.3,1,11.0,10,5,5,50,Average
5,1,5,20.0,2,15.0,10,9,1,55,Average
19,9,8,47.4,1,11.0,3,10,0,49,Average
11,7,9,63.6,0,0.0,10,5,1,41,Average
2,1,6,50.0,0,7.0,4,10,4,45,Average
24,4,1,16.7,3,11.0,7,9,1,53,Average
5,1,11,20.0,2,6.0,4,9,3,42,Average
15,10,14,66.7,0,12.0,7,2,2,50,Average
6,0,13,0.0,3,11.0,9,4,4,46,Average
23,5,11,21.7,0,1.0,9,3,3,25,Weak
18,16,6,88.9,0,8.0,7,1,3,55,Average
20,2,13,10.0,0,2.0,9,0,4,19,Weak
11,4,7,36.4,2,7.0,9,6,5,54,Average
12,2,2,16.7,5,6.0,3,4,2,42,Average
16,1,12,6.2,1,12.0,4,9,3,36,Weak
20,8,4,40.0,1,13.0,3,7,3,48,Average
21,11,14,52.4,1,7.0,9,0,4,47,Average
2,0,5,0.0,2,8.0,7,9,2,38,Weak
17,1,13,5.9,4,10.0,9,5,2,48,Average
4,0,8,0.0,1,10.0,7,6,5,34,Weak
8,5,7,62.5,3,10.0,4,10,5,72,Good
21,18,4,85.7,5,12.0,3,7,3,79,Good
7,1,12,14.3,5,15.0,10,0,0,51,Average
20,6,0,30.0,3,13.0,4,1,1,49,Average
12,4,7,33.3,4,2.0,3,4,2,44,Average
7,2,5,28.6,5,7.0,4,0,4,46,Average
9,2,8,22.2,4,7.0,10,1,4,51,Average
14,0,3,0.0,1,8.0,4,8,4,30,Weak
19,10,9,52.6,0,8.0,10,1,0,40,Weak
15,5,5,33.3,0,11.0,7,1,2,34,Weak
23,8,2,34.8,5,6.0,10,5,4,59,Average
21,5,2,23.8,3,4.0,9,1,5,47,Average
19,18,10,94.7,1,7.0,3,2,0,56,Average
15,9,3,60.0,2,13.0,7,10,5,71,Good
8,3,4,37.5,1,4.0,7,6,0,38,Weak
11,2,9,18.2,4,0.0,4,10,1,42,Average
4,4,4,100.0,3,15.0,7,3,5,88,Excellent
10,9,5,90.0,5,3.0,3,6,4,72,Good
23,0,3,0.0,1,9.0,9,2,5,31,Weak
11,11,5,100.0,2,12.0,10,4,3,81,Good
4,3,10,75.0,0,4.0,3,1,3,41,Average
16,1,8,6.2,5,5.0,7,9,3,46,Average
24,18,14,75.0,3,4.0,9,2,3,66,Average
21,2,11,9.5,3,2.0,3,2,3,32,Weak
8,0,0,0.0,2,2.0,4,5,1,24,Weak
12,1,5,8.3,1,2.0,4,4,5,24,Weak
14,6,4,42.9,5,7.0,3,3,2,52,Average
7,4,8,57.1,2,8.0,10,3,3,59,Average
